Model,CV Accuracy,CV Std,Test Accuracy,Test AUC
Ridge Logistic (L2),0.7509270618715294,0.004105355166849559,0.7618243243243243,0.8345413402584282
Lasso Logistic (L1),0.7505047469561459,0.004893180900921061,0.7601351351351351,0.8344892536439171
Logistic Regression,0.7498009291258374,0.0054081899462792415,0.7599474474474475,0.8342766878791102
Gradient Boosting,0.7498008630789329,0.004687482537547397,0.7591966966966966,0.8377486681176233
Random Forest,0.7514431193600759,0.00290003982563392,0.7576951951951952,0.8358490343679994
XGBoost,0.7498475912638879,0.002655409560006567,0.7575075075075075,0.835337334303095
Decision Tree,0.7454367368073784,0.0036362839370010125,0.75,0.8309866470580448
